Keygen,Encrypt,Decrypt
5.982,9.09,14.751
5.939,9.058,14.754
5.972,9.12,14.773
5.984,9.191,14.837
5.971,9.135,14.845
5.966,9.151,14.855
5.973,9.14,14.835
5.956,9.132,14.764
5.983,9.105,14.812
5.951,9.082,14.785
5.946,9.105,14.772
5.986,9.126,14.872
5.951,9.108,14.772
5.934,9.084,14.771
5.962,9.103,14.769
5.95,9.081,14.758
5.987,9.129,14.779
6.007,9.136,14.856
5.943,9.075,14.76
5.974,9.118,14.828
5.957,9.073,14.792
5.974,9.108,14.798
5.983,9.114,14.831
5.974,9.091,14.81
5.958,9.076,14.82
5.949,9.088,14.737
5.948,9.082,14.74
5.945,9.08,14.762
5.956,9.071,14.765
5.968,9.107,14.757
